,,,,,TV RATINGS GRP,TV NATIONAL ACTIVE TRADER SPEND ,PROMOTIONS CASH SPEND,PROMOTIONS ,,,,,,,,,,,,,,,,,,
,X_DT,HF,X_GEO,dv,M_TV_N_TS_GRP,M_TV_N_TS_SP,PRO_EX_ADV_CA_SP,PRO_EX_ADV_ST_AWD,PRO_EX_ADV_ST_DEP,PRO_EX_ADV_ST_ENR,PRO_EX_ADV_ST_SP,PRO_EX_CEQA_AWD,PRO_EX_CEQA_SP,M_OD_N_SPN_CLK,M_OD_N_SPN_IMP,M_OD_N_SPN_SP,M_HSP_L_MLB_IMP,M_HSP_L_MLB_SP,M_HSP_L_PGA_IMP,M_HSP_L_PGA_SP,M_RD_L_RTL_GRP,M_RD_L_RTL_SP,M_EVT_L_CUL_SP,M_EVT_L_GLF_SP,M_EVT_L_SPK_SP,PRO_EX_ADV_CA_AWD
0,05/01/14,2014_HF1,ATL,14.11561568,1.181727195,10.82123323,5.303304908,1.098612289,13.33494414,1.386294361,6.778784898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289
1,05/01/14,2014_HF1,BAL,13.08361018,1.181727195,10.82123323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,05/01/14,2014_HF1,BOS,14.47376025,1.181727195,10.82123323,0,0.693147181,0,0.693147181,5.634789603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,05/01/14,2014_HF1,CHA,12.05446046,1.181727195,10.82123323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,05/01/14,2014_HF1,CHI,15.38107711,1.181727195,10.82123323,5.707110265,0.693147181,11.51293546,0.693147181,5.634789603,0.693147181,6.398594935,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289
5,05/01/14,2014_HF1,DAL,15.07642769,1.181727195,10.82123323,0,0.693147181,13.52782982,1.098612289,6.396929655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,05/01/14,2014_HF1,DEN,14.36555892,1.181727195,10.82123323,5.707110265,0.693147181,11.58063084,0.693147181,5.634789603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181
7,05/01/14,2014_HF1,DET,13.57591616,1.181727195,10.82123323,0,0.693147181,13.89860553,0.693147181,6.396929655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,05/01/14,2014_HF1,HAR,13.80800352,1.181727195,10.82123323,0,0.693147181,15.51332576,0.693147181,6.396929655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,05/01/14,2014_HF1,HOU,15.21888841,1.181727195,10.82123323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,05/01/14,2014_HF1,LAX,16.10738477,1.181727195,10.82123323,4.615120517,0.693147181,13.95527337,1.098612289,7.089243155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181
11,05/01/14,2014_HF1,MIA,14.61310135,1.181727195,10.82123323,0,0.693147181,13.12236538,0.693147181,6.396929655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,05/01/14,2014_HF1,MIN,13.64627029,1.181727195,10.82123323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,05/01/14,2014_HF1,NYC,16.11015909,1.181727195,10.82123323,0,0.693147181,12.4292202,1.791759469,6.086774727,0.693147181,5.707110265,0,0,0,0,0,0,0,0,0,0,0,0,0
14,05/01/14,2014_HF1,ORL,13.75914601,1.181727195,10.82123323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,05/01/14,2014_HF1,OTH,17.72168833,1.181727195,10.82123323,7.090909822,2.302585093,15.21230535,2.63905733,8.240648863,1.945910149,8.537191878,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469
16,05/01/14,2014_HF1,PHI,14.13020604,1.181727195,10.82123323,0,0,0,0,0,1.098612289,7.496097345,0,0,0,0,0,0,0,0,0,0,0,0,0
17,05/01/14,2014_HF1,PHO,14.61918105,1.181727195,10.82123323,0,0,0,0,0,0.693147181,7.824445931,0,0,0,0,0,0,0,0,0,0,0,0,0
18,05/01/14,2014_HF1,SAC,13.47363587,1.181727195,10.82123323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,05/01/14,2014_HF1,SDO,14.59414842,1.181727195,10.82123323,0,1.098612289,12.57002455,1.098612289,6.326149473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,05/01/14,2014_HF1,SEA,14.50189964,1.181727195,10.82123323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,05/01/14,2014_HF1,SFO,16.60455741,1.181727195,10.82123323,6.552507887,1.945910149,15.2563807,2.079441542,7.813995675,1.386294361,7.783640596,0,0,0,0,0,0,0,0,0,0,0,0,1.386294361
22,05/01/14,2014_HF1,TAM,13.44134274,1.181727195,10.82123323,0,0,0,0,0,0.693147181,6.398594935,0,0,0,0,0,0,0,0,0,0,0,0,0
23,05/01/14,2014_HF1,WDC,14.94325868,1.181727195,10.82123323,0,0.693147181,11.68000647,0.693147181,5.634789603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,05/01/14,2014_HF1,WPB,14.06192815,1.181727195,10.82123323,4.615120517,0,0,0,0,1.098612289,5.993961427,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181
25,12/01/14,2014_HF1,ATL,14.47766318,1.558144618,11.26805892,0,1.386294361,0,1.386294361,6.527957918,0.693147181,6.398594935,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12/01/14,2014_HF1,BAL,13.24777383,1.558144618,11.26805892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12/01/14,2014_HF1,BOS,14.64136546,1.558144618,11.26805892,0,0.693147181,12.39944953,0.693147181,5.634789603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/01/14,2014_HF1,CHA,11.91511609,1.558144618,11.26805892,0,0,0,0,0,0.693147181,4.615120517,0,0,0,0,0,0,0,0,0,0,0,0,0
29,12/01/14,2014_HF1,CHI,15.72416742,1.558144618,11.26805892,5.303304908,1.098612289,0,1.098612289,7.089243155,1.386294361,8.117014088,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289
30,12/01/14,2014_HF1,DAL,15.38270151,1.558144618,11.26805892,4.615120517,1.386294361,14.02403334,1.386294361,7.054449658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181
31,12/01/14,2014_HF1,DEN,14.90555185,1.558144618,11.26805892,0,0,0,0,0,0.693147181,5.303304908,0,0,0,0,0,0,0,0,0,0,0,0,0
32,12/01/14,2014_HF1,DET,13.65791762,1.558144618,11.26805892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,12/01/14,2014_HF1,HAR,12.82139469,1.558144618,11.26805892,0,0.693147181,0,0.693147181,6.396929655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,12/01/14,2014_HF1,HOU,15.56546098,1.558144618,11.26805892,0,1.386294361,13.11117502,1.386294361,7.241366283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,12/01/14,2014_HF1,LAX,16.29580456,1.558144618,11.26805892,5.707110265,1.609437912,12.96908165,1.791759469,7.241366283,1.609437912,8.43402895,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181
