,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,13.5042,0.042,319.207,0.0,13.421,13.587
M_RD_L_RTL_GRP,0.2403,0.02,12.141,0.0,0.202,0.279
M_TV_N_TS_GRP,0.0962,0.026,3.737,0.0,0.046,0.147
M_OD_N_SPN_SP,0.0422,0.003,14.321,0.0,0.036,0.048
PRO_EX_ADV_ST_SP,0.1228,0.004,28.979,0.0,0.114,0.131
M_EVT_L_CUL_SP,0.0374,0.006,6.53,0.0,0.026,0.049
M_EVT_L_GLF_SP,0.0217,0.01,2.189,0.029,0.002,0.041
M_EVT_L_SPK_SP,0.0398,0.009,4.552,0.0,0.023,0.057
PRO_EX_CEQA_SP,0.1287,0.003,38.398,0.0,0.122,0.135
PRO_EX_ADV_CA_SP,0.0835,0.004,23.667,0.0,0.077,0.09
M_HSP_L_MLB_IMP,0.1578,0.016,9.955,0.0,0.127,0.189
M_HSP_L_PGA_IMP,0.0346,0.016,2.2,0.028,0.004,0.065
